Company,Industry,Ticker,Type,Market,Seniority,ISIN,Currency,State,Moody's,S&P,Fitch,Country,Ownership,Maturity,Next Payment,Coupon Type,Coupon Frequency,Coupon,Current Yield,YTM / YTC,Price,Available
British Petroleum,"Energy, Utilities & Infrastructure",BPLN,Perpetual,Main Market,Unsecured,XS2193663619,GBP,Open,Baa1,BBB,BBB+,UK,Public,22-03-2027,22-06-2023,Fixed,Annual,4.25%,4.843,7.515,87.7500,4.4600
Virgin Media,Cable & Telecoms,VRGMDF,Bond,Main Market,Senior Secured,XS2187646901,GBP,Open,B2,B,B+,UK,Private,15-07-2028,15-01-2023,Fixed,Biannual,4.875%,5.982,9.119,81.5000,86938.8200
Atalian,"Business Services, Shipping & Logistics",ATALIA,Bond,Main Market,Unsecured,XS1820760079,GBP,Suspended,Caa1,B,,France,Private,15-05-2025,15-12-2022,Fixed,Biannual,6.625%,6.559,6.188,101.0000,21361.7500
Domestic & General,Consumer & Food,DGGLN_2026,Bond,Main Market,Senior Secured,XS2028892474,GBP,Open,B2,B,,UK,Private,31-07-2026,28-02-2023,Fixed,Biannual,6.5%,7.867,12.473,82.6250,76675.9300
Domestic & General,Consumer & Food,DGGLN_2027,Bond,High Yield,Unsecured,XS2028892987,GBP,Open,Caa1,CCC+,,UK,Private,31-07-2027,28-02-2023,Fixed,Biannual,9.25%,11.455,15.088,80.7500,3.2200
Talk Talk,Cable & Telecoms,TALKLN,Bond,Main Market,Unsecured,XS2121167345,GBP,Open,,B,B+,UK,Public,20-02-2025,20-02-2023,Fixed,Biannual,3.875%,4.814,14.194,80.5000,115151.4300
True Potential,Banks & Financials,TRUEPT_6.5,Bond,Main Market,Senior Secured,XS2436314160,GBP,Open,B1,B,,United Kingdom,Private,15-02-2027,15-02-2023,Fixed,Biannual,6.5%,8.025,12.362,81.0000,27138.5700
SSE,"Energy, Utilities & Infrastructure",SSELN,Perpetual,Main Market,Unsecured,XS2195190876,GBP,Open,Baa3,BBB-,BBB-,UK,Public,14-01-2026,14-04-2023,Fixed,Annual,3.74%,4.196,7.583,89.1250,1614.5100
Centrica,"Energy, Utilities & Infrastructure",CNALN,Bond,Main Market,Unsecured,XS1216019585,GBP,Open,Ba1,BB+,WD,UK,Public,10-04-2075,10-04-2023,Fixed,Biannual,5.25%,5.991,6.031,87.6250,35437.0800
Ocado,Technology,OCDOLN,Bond,Main Market,Unsecured,XS2393761692,GBP,Open,B3,,B+,UK,Public,08-10-2026,08-04-2023,Fixed,Biannual,3.875%,5.032,11.317,77.0000,154136.0700
Thames Water,"Energy, Utilities & Infrastructure",THAMES_2026,Bond,Main Market,Unsecured,XS2258560361,GBP,Open,B1,,B+,UK,Private,19-05-2026,19-11-2022,Fixed,Biannual,4.625%,5.547,10.380,83.3750,0
Charities Aid Foundation,Services,CAF2,Bond,Main Market,Senior Secured,XS2408363278,GBP,Open,,,,United Kingdom,Private,08-12-2031,08-12-2022,Fixed,Biannual,3.5%,4.094,5.556,85.5000,8.4200
Stonegate,Property,STONPB,Bond,Main Market,Senior Secured,XS2210014788,GBP,Open,B3,,B,UK,Private,31-07-2025,15-01-2023,Fixed,Biannual,8.25%,9.041,12.113,91.2500,67.0800
One Savings Bank,Banks & Financials,ONESAV_4.6s,Perpetual,Perpetuals,Subordinated,GB00B67JQX63,GBP,Open,,,,United Kingdom,Public,27-08-2024,27-02-2023,Fixed,Biannual,4.6007%,4.894,8.262,94.0000,32934.5100
EDF,"Energy, Utilities & Infrastructure",EDF,Perpetual,Main Market,Unsecured,FR0011700293,GBP,Open,Ba1,B+,BBB-,France,Public,22-01-2029,22-01-2023,Fixed,Biannual,5.875%,7.705,11.305,76.2500,0
